iter	Logloss
0	0.6247170542
1	0.5756706402
2	0.5198700353
3	0.4985334554
4	0.4697540441
5	0.4497682698
6	0.4247364579
7	0.4098777081
8	0.398398592
9	0.3839106297
10	0.3733161112
11	0.366615681
12	0.3602397858
13	0.354807809
14	0.3510884028
15	0.3459288944
16	0.3306324021
17	0.3273288775
18	0.3161834108
19	0.3096092083
20	0.306453347
21	0.3013551793
22	0.2964843403
23	0.2938843871
24	0.2884768733
25	0.2867218337
26	0.2826197596
27	0.280324777
28	0.2770263951
29	0.2746113538
30	0.2713462576
31	0.2671321747
32	0.2627768054
33	0.2613598482
34	0.2600217891
35	0.257798616
36	0.2552358213
37	0.2534104648
38	0.2524441505
39	0.2513356526
40	0.2500679381
41	0.2484091696
42	0.2467229509
43	0.2455020177
44	0.2445327992
45	0.2425703377
46	0.2410979092
47	0.2381629311
48	0.2370315498
49	0.2350863534
50	0.2343494414
51	0.2331432397
52	0.2320790734
53	0.2310607116
54	0.2292342471
55	0.227752079
56	0.225479574
57	0.2230395843
58	0.2214546125
59	0.2199552504
60	0.2189667202
61	0.2179764681
62	0.2163594583
63	0.2145182085
64	0.2131690804
65	0.2124144459
66	0.2115861679
67	0.2110510642
68	0.2097857821
69	0.2088355698
70	0.2079049991
71	0.206587745
72	0.2055576936
73	0.2044312847
74	0.2040014547
75	0.2031021117
76	0.2026135885
77	0.2016858673
78	0.2009680948
79	0.2001106908
80	0.1990397303
81	0.1982447709
82	0.1975244623
83	0.1967975313
84	0.1954515421
85	0.1941373102
86	0.1932207321
87	0.1923924125
88	0.191277453
89	0.1904705821
90	0.1896203989
91	0.1878864013
92	0.1867966594
93	0.1859632145
94	0.1849643256
95	0.1834814382
96	0.1828012568
97	0.1816938937
98	0.1807546404
99	0.1800998384
100	0.178714554
101	0.1779392496
102	0.1770625178
103	0.1758447238
104	0.1744713471
105	0.1738296846
106	0.1730367634
107	0.1723288129
108	0.1718710805
109	0.1709193219
110	0.1700614495
111	0.1696397373
112	0.168623665
113	0.1678656385
114	0.1668184503
115	0.1663098221
116	0.1652348782
117	0.164559737
118	0.1634579169
119	0.1624249771
120	0.1619514474
121	0.1615745682
122	0.1611687324
123	0.1603765531
124	0.1588667507
125	0.1583625379
126	0.1579154857
127	0.1571745237
128	0.1566018166
129	0.1548935768
130	0.1544353999
131	0.1540624597
132	0.1535331874
133	0.1520136488
134	0.1515430943
135	0.150481603
136	0.1496059985
137	0.1489580768
138	0.1484725304
139	0.1480356148
140	0.1473303831
141	0.1467367216
142	0.1459806581
143	0.1455068848
144	0.143916809
145	0.1431192613
146	0.1418936663
147	0.1397995308
148	0.139234483
149	0.1386958186
150	0.1383474652
151	0.1378628834
152	0.1362950863
153	0.135495657
154	0.1340810374
155	0.1338350074
156	0.13338323
157	0.1328008507
158	0.1326182375
159	0.1323308054
160	0.1316811756
161	0.1309032836
162	0.130542348
163	0.1295811358
164	0.1289589413
165	0.1276051438
166	0.1271498609
167	0.1266200182
168	0.1255348701
169	0.1252863312
170	0.1245998447
171	0.1239219696
172	0.1236933131
173	0.1230197502
174	0.1227178621
175	0.1221043306
176	0.1215902436
177	0.1213298259
178	0.1205234699
179	0.120262294
180	0.119528276
181	0.1190664371
182	0.1188069813
183	0.1178070052
184	0.117273439
185	0.116047368
186	0.1154279396
187	0.1145201936
188	0.1141088973
189	0.1136959563
190	0.1132261044
191	0.1125599909
192	0.1120241677
193	0.1116720865
194	0.1114798726
195	0.1110241048
196	0.1103245364
197	0.1094402295
198	0.1090390616
199	0.108452237
200	0.1080272455
201	0.1076963378
202	0.1073369951
203	0.107008575
204	0.1064435036
205	0.1055661572
206	0.1050111619
207	0.1047651475
208	0.1044621568
209	0.1041595091
210	0.1039630235
211	0.1036681004
212	0.1032412791
213	0.1030524581
214	0.1024541525
215	0.1020731135
216	0.1018314613
217	0.1015463653
218	0.1012979986
219	0.1009823154
220	0.1006726347
221	0.100502788
222	0.100284993
223	0.0998437263
224	0.09956981664
225	0.09916058922
226	0.09880150663
227	0.09842478469
228	0.09780879067
229	0.097648729
230	0.09722090491
231	0.09678966929
232	0.09642295485
233	0.09611614378
234	0.0959052336
235	0.09553102157
236	0.09517286239
237	0.09481613327
238	0.09447154759
239	0.09437413898
240	0.09398460204
241	0.09382004095
242	0.09338824827
243	0.09278511823
244	0.09222648003
245	0.09217363299
246	0.09206817672
247	0.09182646138
248	0.09146044164
249	0.09124991915
250	0.09113869782
251	0.09055400843
252	0.09033207766
253	0.08997458127
254	0.08971501624
255	0.08927408437
256	0.08888822353
257	0.08859585
258	0.0882512128
259	0.08809549859
260	0.08792585366
261	0.08749861005
262	0.08704202564
263	0.08692777963
264	0.08660804728
265	0.08638190582
266	0.08626841235
267	0.08609157118
268	0.08570973622
269	0.08512549453
270	0.08487361921
271	0.08456311241
272	0.08381064374
273	0.08352406998
274	0.08305369576
275	0.08289118861
276	0.08249783849
277	0.08241176334
278	0.08227370087
279	0.08187064501
280	0.08154031032
281	0.08126973318
282	0.08099522493
283	0.08076739949
284	0.08065228503
285	0.08025980638
286	0.08013828675
287	0.07976976157
288	0.07935417653
289	0.07905343626
290	0.07878977856
291	0.07863177371
292	0.07840344938
293	0.07818228002
294	0.07772489288
295	0.07767566669
296	0.07742408251
297	0.07728356052
298	0.07719455059
299	0.07690349421
